n,m,Natural max error,Natural square error
4,2,0.9976615335230898,3.8373416856050504
4,5,0.9976615335230898,3.8373416856050504
4,8,0.9976615335230898,3.8373416856050504
4,10,0.9976615335230898,3.8373416856050504
4,15,0.9976615335230898,3.8373416856050504
5,2,1.140645717929019,3.0468600153997754
5,5,1.5619401565588533,3.8033678329734686
5,8,2.4011671221555595,4.530194326869007
5,10,5.413611835760211,9.96839671290925
5,15,7.110458912403388,13.290651026726845
7,2,0.9976615335230897,2.1927666774886005
7,5,0.9976615335230895,2.1927666774886
7,8,0.9976615335230888,2.1927666774886
7,10,0.9976615335230892,2.1927666774886
7,15,0.9976615335230882,2.1927666774885997
10,2,1.2135847524270453,1.5315330730092087
10,5,1.2302302602393755,1.5334375573569523
10,8,3.091147413835112,3.0169401530994207
10,10,2.8341600084471943,2.795670245669945
10,15,2.418536984221375,2.5090153342569548
15,2,0.9916210416326711,0.9566076982071028
15,5,1.132375242584278,0.8427957703988743
15,8,1.5714345324206245,0.9457016730528659
15,10,1.4104716005188607,0.8856293563168662
15,15,8.730249099934449,3.3008265947678357
20,2,0.978774998646159,0.7174265017258075
20,5,1.1455422022249488,0.6310047598117585
20,8,0.946318196413529,0.597697450072459
20,10,0.6520187664022782,0.5052537568818731
20,15,1.3611600287087624,0.5588852131964461
30,2,0.9773770302526192,0.4782079305572113
30,5,1.128494119833338,0.4206404253146932
30,8,0.8964919653906807,0.39397117564297296
30,10,0.643824188949537,0.3267160691847774
30,15,0.6822752220501072,0.3252464498052267
40,2,0.9773757952457836,0.35862127016612105
40,5,1.1262040329355794,0.31543381870180187
40,8,0.8794254053453303,0.2938882574326242
40,10,0.6372075657277204,0.24401553994719521
40,15,0.5745711435427004,0.23645020172054704
70,2,0.9775154724553878,0.2049082046489021
70,5,1.1245616263208016,0.180213249155355
70,8,0.8534265898356923,0.16669061170194818
70,10,0.6334277956552509,0.1388879744613521
70,15,0.5843157686863524,0.13408484352559513
