,0.01,0.001,1e-05,1e-07,1e-09,1e-15
1.0,0.999823,0.999823,0.999823,0.999823,0.999823,0.999823
0.9,0.899839,0.899839,0.899839,0.899839,0.899839,0.899822
0.8,0.799861,0.799861,0.565903,0.565903,0.565903,0.565903
0.7,0.699896,0.699896,0.565903,0.565903,0.565903,0.565903
0.6,0.599963,0.599963,0.565903,0.565903,0.565903,0.565903
0.5,0.500107,0.500107,0.565903,0.565903,0.565903,0.565903
0.4,0.400434,0.400434,0.565903,0.565903,0.565903,0.565903
0.3,0.301185,0.301185,0.565903,0.565903,0.565903,0.565903
0.2,0.202887,0.565898,0.565903,0.565903,0.565903,0.565903
0.1,0.106629,0.56587,0.565903,0.565903,0.565903,0.565903
0.0,0.014458,0.565902,0.565903,0.565903,0.565903,0.565903
-0.1,0.565593,0.565897,0.565903,0.565903,0.565903,0.565903
-0.2,0.565468,0.565893,0.565903,0.565903,0.565903,0.565903
-0.3,0.565576,0.565897,0.565903,0.565903,0.565903,0.565903
-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4
