,Float32,Float64
2,0.0000e+00,0.0000e+00
3,2.0862e-06,0.0000e+00
4,6.4373e-05,0.0000e+00
5,2.0037e-03,2.8415e-12
6,6.0793e-02,3.3952e-11
7,1.3677e+00,2.0169e-09
8,4.5899e+00,5.3591e-08
9,4.1979e+00,1.8087e-06
10,6.8686e+00,1.0740e-05
11,5.7285e+00,2.9340e-04
12,1.0891e+01,3.7738e-02
13,1.1799e+02,4.0972e-01
14,3.4612e+00,2.4475e-01
15,1.5552e+00,7.2967e-01
16,1.7673e+00,1.1510e+00
17,3.1458e+00,1.0965e+00
18,5.2323e+00,1.8758e+00
19,6.8712e+00,1.1860e+01
20,4.3825e+00,4.7742e+01
30,1.6163e+01,5.6358e+00
50,2.6953e+03,7.1573e+00
100,2.2274e+02,2.1625e+01
150,4.0610e+01,7.4580e+01
200,5.7358e+01,4.7698e+01
300,3.7020e+01,6.9383e+01
400,7.8775e+01,8.0703e+01
500,7.8699e+01,2.9129e+01
