,0.1,0.001,1e-07,1e-09
3,6.5918e-03,7.0095e-05,1.1018e-08,1.2190e-10
4,7.5623e-03,6.7594e-05,9.1111e-09,7.4968e-11
7,1.0350e-02,9.6376e-05,1.1413e-08,1.0259e-10
10,1.1932e-02,1.1374e-04,1.3216e-08,1.2182e-10
15,1.3720e-02,1.3363e-04,1.5261e-08,1.4390e-10
20,1.4925e-02,1.4738e-04,1.6639e-08,1.5928e-10
30,1.6600e-02,1.6664e-04,1.8554e-08,1.8086e-10
50,1.8662e-02,5.1429e-05,2.0910e-08,5.4021e-11
70,2.0002e-02,5.6070e-05,2.2439e-08,5.9041e-11
100,2.1412e-02,6.0981e-05,2.4047e-08,6.4358e-11
200,2.4131e-02,7.0509e-05,2.7147e-08,7.4679e-11
500,5.1846e-03,8.3086e-05,5.8121e-09,8.8311e-11
